Matching.Year,idpub,idpub,Matching.Year
1968,904727,919289,1967
1968,904984,917325,1967
1968,905266,920534,1968
1968,906590,918965,1968
1968,906758,914456,1967
1968,908976,925524,1966
1968,909852,922415,1967
1968,909957,933104,1967
1968,912106,933404,1968
1968,912880,900814,1967
1968,914696,913742,1965
1968,917251,902531,1968
1968,918341,908493,1967
1968,919778,933639,1966
1968,921281,922351,1967
1968,922678,928719,1968
1968,923365,932274,1967
1968,923545,919337,1968
1968,923775,910101,1968
1968,924070,912039,1967
1968,924530,906265,1967
1968,924576,932221,1968
1968,926088,912437,1965
1968,927490,933869,1968
1968,930737,927977,1968
1968,931439,933288,1965
1968,933532,933678,1967
1969,901217,929756,1969
1969,901557,917647,1969
1969,902370,920050,1967
1969,903598,915695,1967
1969,903994,929347,1968
1969,904931,900176,1967
1969,905086,910824,1968
1969,905816,924554,1968
1969,905949,901847,1967
1969,907287,926530,1968
1969,909192,926243,1969
1969,909781,917185,1966
1969,909916,925319,1969
1969,911661,928007,1968
1969,914200,912760,1968
1969,915703,913376,1966
1969,917195,904219,1969
1969,918257,909606,1965
1969,918899,925320,1968
1969,920202,902663,1969
1969,922324,918327,1969
1969,922423,901327,1967
1969,923129,908076,1968
1969,926402,919407,1966
1969,927411,928870,1968
1969,928335,918552,1967
1969,929353,921874,1966
1969,929441,907151,1969
1969,930392,905600,1968
1969,930657,913301,1967
1969,931082,916485,1968
1969,931454,900919,1967
1969,932576,923717,1968
1969,933008,909254,1966
1969,933248,926630,1967
1970,900633,920064,1970
1970,901452,919785,1969
1970,901483,913646,1969
1970,901720,929845,1970
1970,902252,910028,1968
1970,902291,923985,1970
1970,903130,918279,1970
1970,903751,905197,1968
1970,904886,910475,1966
1970,905132,905469,1969
1970,905430,917568,1968
1970,905685,920764,1968
1970,906994,931094,1970
1970,908745,904796,1968
1970,909191,928986,1970
1970,909929,933012,1970
1970,912391,919142,1966
1970,914112,918660,1969
1970,915620,922544,1970
1970,916051,914472,1969
1970,917465,907723,1968
1970,918091,903161,1970
1970,918997,900921,1967
1970,920855,902822,1970
1970,923372,919704,1968
1970,924565,910663,1970
1970,926656,903919,1969
1970,928367,913171,1970
1970,928478,905956,1969
1970,930419,907569,1968
1970,930487,929145,1968
1970,931095,927790,1968
1970,931179,922032,1969
1971,901543,929461,1970
1971,908360,932623,1967
1971,909340,917542,1968
1971,909516,930561,1968
1971,910119,931103,1970
1971,911301,913011,1969
1971,914455,916306,1970
1971,919018,930990,1971
1971,919138,902935,1971
1971,921813,911585,1969
1971,922173,915616,1967
1971,925381,914056,1968
1971,926919,923114,1970
1971,929502,910092,1969
1972,901777,925844,1970
1972,903337,932356,1971
1972,904262,904331,1971
1972,905864,920168,1972
1972,905940,922937,1971
1972,908730,932993,1969
1972,912512,922262,1972
1972,913103,907662,1972
1972,913299,932519,1970
1972,915031,915517,1969
1972,915663,932970,1967
1972,918544,919507,1968
1972,919456,911738,1972
1972,920752,907333,1969
1972,926247,928015,1969
1972,930160,921233,1967
1972,933884,931451,1969
1973,905188,924916,1970
1973,913240,904062,1972
1973,920835,931377,1973
1973,922144,921238,1972
1973,925136,928839,1969
1973,925704,932257,1972
1973,927549,922044,1973
1973,928951,916275,1971
1973,930079,905701,1973
1973,932052,908879,1968
1973,932400,929396,1970
1974,900299,924842,1970
1974,909009,905502,1971
1974,909400,921619,1973
1974,913436,923563,1973
1974,915188,919400,1971
1974,917565,909266,1971
1974,920646,926188,1970
1974,923389,933479,1971
1974,924456,916236,1972
1974,925738,905443,1974
1974,925799,918419,1971
1974,927403,905139,1973
1974,930528,915274,1971
1974,931920,932268,1973
1974,932758,908664,1973
